,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,val1,val2,val3,val4
7037,nm0007064,Steven Zirnkilton,1958,\N,actor,"tt0260598,tt0134067,tt4778486,tt1246733",tt0260598,tt0134067,tt4778486,tt1246733
7038,nm0007065,David Blitstein,1949,\N,"special_effects,writer,miscellaneous","tt0949731,tt0096256,tt0407304,tt0482571",tt0949731,tt0096256,tt0407304,tt0482571
7039,nm0007066,Nanouk Leopold,1968,\N,"director,writer","tt2167715,tt0824422,tt1529240,tt0428608",tt2167715,tt0824422,tt1529240,tt0428608
7040,nm0007067,Louis G. Friedman,\N,\N,"producer,production_manager,assistant_director","tt0163651,tt1091191,tt4572514,tt0458525",tt0163651,tt1091191,tt4572514,tt0458525
7041,nm0007068,Jorge Simonet,1966,\N,"camera_department,cinematographer,director","tt6080406,tt0272899,tt0455957,tt0244057",tt6080406,tt0272899,tt0455957,tt0244057
7042,nm0007069,Pierre Richard,1934,\N,"actor,writer,director","tt0082183,tt0068655,tt0085354,tt0117050",tt0082183,tt0068655,tt0085354,tt0117050
7043,nm0007070,David Peters,1969,\N,"producer,production_manager","tt1117385,tt0106216,tt0273982,tt0184457",tt1117385,tt0106216,tt0273982,tt0184457
7044,nm0007071,Dennis Bots,1974,\N,"director,assistant_director,writer","tt1214946,tt1800372,tt2371158,tt1581622",tt1214946,tt1800372,tt2371158,tt1581622
7045,nm0007072,Katherine Haber,1944,\N,"miscellaneous,producer,actress","tt0067800,tt0068638,tt0083658,tt0071249",tt0067800,tt0068638,tt0083658,tt0071249
7046,nm0007073,Michael Barlow,\N,\N,"miscellaneous,producer","tt0072742,tt0072990,tt0082934",tt0072742,tt0072990,tt0082934,
7047,nm0007074,Jonathan Bernstein,\N,\N,"producer,production_manager,editorial_department","tt0094462,tt0068555,tt0099543,tt0140785",tt0094462,tt0068555,tt0099543,tt0140785
7048,nm0007075,Jon Bernstein,\N,\N,"writer,producer,miscellaneous","tt5097384,tt0396555,tt0165494,tt0210567",tt5097384,tt0396555,tt0165494,tt0210567
7049,nm0007076,James Bolt,\N,\N,actor,"tt0898895,tt0094701,tt0100705,tt0083929",tt0898895,tt0094701,tt0100705,tt0083929
7050,nm0007077,Jamie Brown,1945,\N,"producer,writer,soundtrack","tt0115770,tt0089409,tt1461312,tt0187995",tt0115770,tt0089409,tt1461312,tt0187995
7051,nm0007078,Julian Bucknall,\N,\N,"camera_department,actor","tt0988045,tt0311429,tt2527336,tt2094766",tt0988045,tt0311429,tt2527336,tt2094766
7052,nm0007079,James Greer,1971,\N,"writer,director,cinematographer","tt7153766,tt0273799,tt1273678,tt0397078",tt7153766,tt0273799,tt1273678,tt0397078
7053,nm0007080,Jamie Lauren,1983,2015,"actress,producer","tt0200337,tt0251065,tt0115083,tt0118437",tt0200337,tt0251065,tt0115083,tt0118437
7054,nm0007081,Jon Shapiro,\N,\N,"producer,miscellaneous","tt0110989,tt1702427,tt0094812,tt0449545",tt0110989,tt1702427,tt0094812,tt0449545
